did,oid,sid,ent,pedestriansIn,pedestriansIn_D,pedestriansOut,pedestriansOut_D,speed,speed_D,hspeed,hspeed_D,travelTime,travelTime_D,walkingTime,walkingTime_D,meanStopTime,meanStopTime_D,maxStopTime,maxStopTime_D,numStops,numStops_D
432282,432048,0,1,23,0,1,0,4.895903368,-1,4.895903368,-1,336,-1,336,-1,0,-1,0,0,0,-1
432282,432048,1,1,23,0,1,0,4.895903368,-1,4.895903368,-1,336,-1,336,-1,0,-1,0,0,0,-1
432282,432048,0,2,44,0,2,0,4.210013386,1.19183008,4.041313336,0.070050033,642.4,448.0228566,557.8,328.3803892,84.6,119.6424674,169.2,0,0.5,0.707106781
432282,432048,1,2,44,0,2,0,4.210013386,1.19183008,4.041313336,0.070050033,642.4,448.0228566,557.8,328.3803892,84.6,119.6424674,169.2,0,0.5,0.707106781
432282,432048,0,3,63,0,2,0,4.463539006,0.273949503,4.455132187,0.013776236,861.2,671.4685994,861.2,671.4685994,0,0,0,0,0,0
432282,432048,1,3,63,0,2,0,4.463539006,0.273949503,4.455132187,0.013776236,861.2,671.4685994,861.2,671.4685994,0,0,0,0,0,0
432282,432048,0,4,83,0,8,0,3.508893779,1.001118777,3.286896554,0.078496935,1217,781.2292438,900.0625,537.1443513,316.9375,286.4062097,657.5,0,1.25,0.707106781
432282,432048,1,4,83,0,8,0,3.508893779,1.001118777,3.286896554,0.078496935,1217,781.2292438,900.0625,537.1443513,316.9375,286.4062097,657.5,0,1.25,0.707106781
432282,432048,0,5,101,0,13,0,3.399231282,1.428509808,2.929344532,0.126600461,1315.076923,634.5810457,1043.376923,490.8656998,271.7,307.1436011,924.2,0,0.923076923,0.954073587
432282,432048,1,5,101,0,13,0,3.399231282,1.428509808,2.929344532,0.126600461,1315.076923,634.5810457,1043.376923,490.8656998,271.7,307.1436011,924.2,0,0.923076923,0.954073587
432282,432048,0,6,116,0,5,0,4.449668409,0.806955264,4.335624841,0.041202687,1019.36,1061.068051,882.26,776.3234493,137.1,306.5649197,685.5,0,0.4,0.894427191
432282,432048,1,6,116,0,5,0,4.449668409,0.806955264,4.335624841,0.041202687,1019.36,1061.068051,882.26,776.3234493,137.1,306.5649197,685.5,0,0.4,0.894427191
432282,432048,0,0,116,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1
432282,432048,1,0,116,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1
6051948,,,,,,,,,,,,,,,,,,,,,
432282,432049,0,1,46,0,1,0,4.895903368,-1,4.895903368,-1,336,-1,336,-1,0,-1,0,0,0,-1
432282,432049,0,2,88,0,2,0,4.210013386,1.19183008,4.041313336,0.070050033,642.4,448.0228566,557.8,328.3803892,84.6,119.6424674,169.2,0,0.5,0.707106781
432282,432049,0,3,120,0,2,0,4.463539006,0.273949503,4.455132187,0.013776236,861.2,671.4685994,861.2,671.4685994,0,0,0,0,0,0
432282,432049,0,4,160,0,8,0,3.508893779,1.001118777,3.286896554,0.078496935,1217,781.2292438,900.0625,537.1443513,316.9375,286.4062097,657.5,0,1.25,0.707106781
432282,432049,0,5,202,0,13,0,3.399231282,1.428509808,2.929344532,0.126600461,1315.076923,634.5810457,1043.376923,490.8656998,271.7,307.1436011,924.2,0,0.923076923,0.954073587
432282,432049,0,6,332,0,5,0,4.449668409,0.806955264,4.335624841,0.041202687,1019.36,1061.068051,882.26,776.3234493,137.1,306.5649197,685.5,0,0.4,0.894427191
432282,432049,0,0,332,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1
